user_id,ideal_point,com
236,-0.54714066,0.0
319,0.7452051,1.0
379,-0.84703296,0.0
484,0.067348786,0.0
515,-0.7338808,0.0
534,-0.9315322,0.0
600,-0.5545578,0.0
673,-0.28570843,0.0
689,-0.08425537,0.0
728,-1.1141744,0.0
746,0.031082846,0.0
759,-0.8730679,0.0
935,-0.50811267,0.0
948,-0.7781058,0.0
952,0.33801252,1.0
1074,0.24993673,1.0
1078,-0.8458186,0.0
1088,-1.034057,0.0
1102,-0.4154686,0.0
1205,0.22691682,1.0
1213,-0.32608622,0.0
1241,0.15975715,1.0
1420,-0.23805329,0.0
1422,-0.8744249,0.0
1539,-0.20053677,0.0
1608,0.07526073,0.0
1617,-0.51723874,0.0
1633,-0.07326479,0.0
1685,0.65629286,1.0
1787,-1.0396489,0.0
1841,0.027547967,0.0
1877,-0.54916286,0.0
1883,-0.56153345,0.0
1927,-0.20972149,0.0
2194,-0.59428936,0.0
2263,-0.56992096,0.0
2283,-0.3962881,0.0
2300,-1.0837188,0.0
2324,0.35879266,1.0
2335,-0.44920176,0.0
2372,-0.6475624,0.0
2398,-0.85798615,0.0
2433,-1.0731683,0.0
2533,-1.0938485,0.0
2708,-0.2504388,0.0
2731,-1.1872911,0.0
2803,-0.6497246,0.0
2953,-0.17654496,0.0
2957,-0.13583045,0.0
2958,-0.21471967,0.0
2963,-0.5689459,0.0
3113,-0.69773763,0.0
3118,0.49230295,1.0
3179,-0.28197613,0.0
3188,-0.74714434,0.0
3227,-0.3271923,0.0
3233,-0.1832331,0.0
3244,-0.7366265,0.0
3318,-0.37021068,0.0
3334,-0.13925968,0.0
3433,-0.38272157,0.0
3446,0.42042556,1.0
3450,-0.6827176,0.0
3465,-0.32632,0.0
3543,-0.65637416,0.0
3544,0.25218725,1.0
3554,-0.38286242,0.0
3566,-0.68043727,0.0
3605,-0.17251696,0.0
3686,-0.27427158,0.0
3695,-0.37743083,0.0
3703,0.2588428,1.0
3708,-0.14102998,0.0
3753,0.46239245,1.0
3800,-0.5966476,0.0
3845,0.5196782,1.0
3877,-0.39857626,0.0
3925,-0.7484423,0.0
3977,-0.4845739,0.0
4091,-0.44289628,0.0
4100,-0.7624928,0.0
4125,-0.24884775,0.0
4141,-0.7493131,0.0
4146,-0.47674498,0.0
