user_id,ideal_point,com
4,-0.3177199,0.0
6,-0.6780063,0.0
36,-0.79686826,0.0
45,-0.6212421,0.0
58,0.13972874,1.0
95,-0.96336055,0.0
97,-0.6297719,0.0
108,-0.5531211,0.0
139,0.19141422,1.0
141,0.10484014,1.0
153,-0.94811314,0.0
154,0.5171667,1.0
166,-0.34907818,0.0
172,-0.01812176,0.0
175,-0.34546727,0.0
191,-0.5408402,0.0
193,-0.73557633,0.0
200,0.16737689,1.0
201,-0.69161487,0.0
212,0.5424995,1.0
230,-0.8102481,0.0
231,0.82215095,1.0
233,-1.0002588,0.0
248,0.54306006,1.0
255,-0.7249599,0.0
285,0.8987886,1.0
301,-0.51059115,0.0
320,-0.71596855,0.0
327,-0.7133647,0.0
332,-0.12822437,0.0
341,-0.40793738,0.0
362,-0.26451805,0.0
364,-0.57689005,0.0
367,-0.4400125,0.0
368,-0.46169776,0.0
369,-0.50374466,0.0
379,-0.84703296,0.0
388,-0.26684275,0.0
392,0.6465823,1.0
398,-0.6062051,0.0
400,-1.385408,0.0
430,-0.9298556,0.0
445,-0.20988043,0.0
447,-1.031705,0.0
458,-0.07160514,0.0
463,-0.7076014,0.0
497,1.0499885,1.0
507,-0.6739234,0.0
511,-0.3536951,0.0
515,-0.7338808,0.0
539,-0.36845735,0.0
544,-0.5723221,0.0
554,-0.15563518,0.0
560,-0.13412395,0.0
583,-0.8364257,0.0
602,-0.2644686,0.0
608,-0.66190845,0.0
614,-0.7234093,0.0
622,-1.0978255,0.0
623,0.9465232,1.0
631,-0.75232387,0.0
639,-0.2776423,0.0
640,0.7454328,1.0
648,-0.7019909,0.0
659,-0.54706347,0.0
673,-0.28570843,0.0
705,-0.66730833,0.0
713,0.23537767,1.0
717,-0.43292198,0.0
728,-1.1141744,0.0
729,-0.34303585,0.0
740,-0.9459952,0.0
747,-0.61318946,0.0
758,-0.5805191,0.0
761,-1.0575237,0.0
783,-0.34116623,0.0
786,-1.0630585,0.0
790,-0.499445,0.0
825,-0.78916377,0.0
837,-0.19986767,0.0
863,-0.9771789,0.0
889,0.6069729,1.0
898,-0.60917056,0.0
