created_at,id,user_id,screen_name,followers_count,friend_count,in_reply_to_user_id,in_reply_to_screen_name,text,time,ideal_point
2022-07-06 01:30:51+00:00,1.544494051814019e+18,1.1178647970795766e+18,naguatatoyotol,3776.0,5002.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:30:51+00:00,-0.7544506
2022-07-06 01:32:28+00:00,1.544494457885565e+18,4311826780.0,RomilioValenzu4,634.0,1008.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:32:28+00:00,-0.21872632
2022-07-06 01:32:55+00:00,1.54449457122406e+18,1.4137628491812495e+18,NuncaXlaDerecha,247.0,387.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:32:55+00:00,-0.354584
2022-07-06 01:33:07+00:00,1.5444946201674015e+18,419605862.0,dhcamus,277.0,4075.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:33:07+00:00,-0.59518325
2022-07-06 01:33:11+00:00,1.5444946380479406e+18,8.247945839052227e+17,IgorArancibia,100.0,104.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:33:11+00:00,-0.3397718
2022-07-06 01:34:15+00:00,1.544494905388589e+18,1.0211584834362328e+18,Mitchel60582467,28.0,71.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:34:15+00:00,-0.3454825
2022-07-06 01:34:33+00:00,1.5444949815822295e+18,8.592174659764756e+17,SepulvdaJuan,244.0,165.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:34:33+00:00,-1.1199845
2022-07-06 01:34:33+00:00,1.5444949826936586e+18,929315432.0,abel_cobain,280.0,404.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:34:33+00:00,0.7343778
2022-07-06 01:35:17+00:00,1.5444951644538225e+18,473503633.0,facevedogarrido,256.0,1221.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:35:17+00:00,
2022-07-06 01:36:16+00:00,1.5444954138219889e+18,3243443769.0,C_Cervantes84,377.0,900.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:36:16+00:00,-0.026261602
2022-07-06 01:36:37+00:00,1.5444955012272947e+18,491256832.0,videla1912,395.0,4945.0,,,"RT @valebrunav: Voy en el metro y a cada lado, van personas leyendo la propuesta de #nuevaconstitucion. Una con el libro borrador q se vend…",2022-07-06 01:36:37+00:00,-0.48718444
