user1_id,user2_id
131006,162459
131006,54390
131006,111193
131006,84520
131006,161903
131006,117542
131006,116245
131006,146627
131006,55037
131006,40308
131006,21915
131006,115021
131006,38285
82738,22224
116885,24406
116885,154213
114960,16241
78167,22224
102494,22838
118453,44505
49644,22838
109524,144526
49965,9227
162644,76991
82046,6881
60826,22224
77253,22224
151166,9227
164035,53867
87967,97774
57682,148928
153541,130081
48154,22838
159770,22838
160347,43175
160347,161903
160347,118894
160347,78915
160347,73423
113224,137616
123167,22838
123167,53867
40653,44505
69323,61268
125412,42173
125412,9227
116585,137616
151044,137616
121710,50031
74018,22224
74018,61268
54690,22838
36612,22838
163927,22838
84751,88703
84751,96490
84751,155118
84751,113801
84751,27723
4232,61574
4232,93204
4232,20644
159089,33581
163000,9227
151567,151460
154290,151460
154290,149283
153902,137844
117699,53867
95421,117217
95421,15850
95421,4259
153079,22838
156199,137616
40099,144526
123177,17411
147604,137616
117356,144526
117356,137616
132543,24406
132543,159146
132543,22224
99775,17411
96323,9227
96323,53867
105639,22224
104558,24695
147352,20412
147352,154393
25216,137844
131713,47783
51405,137616
51405,88915
117120,6881
63523,119653
63523,120491
63523,22838
316,144526
107903,9227
152489,22838
120289,163663
120289,154393
120289,61268
42665,33581
141497,24619
116983,53867
128947,22838
123692,17411
57495,155767
129486,22838
83323,6881
68730,16241
19862,17411
19862,33778
19862,9227
108152,33581
102187,14592
68153,157545
68153,14195
68153,33105
68153,9894
112121,17411
112121,9227
162846,33581
118966,9227
129044,22838
121279,22224
156010,124958
156010,83375
115341,124937
115341,9227
115341,53867
117023,4698
109949,144526
109949,137616
105115,43856
100534,68256
161980,137844
162785,141830
162785,94850
162785,94154
162785,151710
162785,152431
162785,85058
162785,118628
113918,9227
114941,9227
126085,22838
123341,137616
147172,6881
121787,55691
121787,9227
67738,137616
46970,137616
106704,129865
106704,122704
158715,151385
158715,114609
158715,40915
158715,118628
77773,61268
101510,22224
83445,2263
19931,364
151515,154213
115787,53867
118155,68325
118155,159518
118155,144559
118155,163078
118155,50111
118155,60255
