user_id,ideal_point
208,-0.093757756
316,-0.5322824
319,0.7452051
364,-0.57689005
398,-0.6062051
623,0.9465232
809,-0.4759854
964,-0.8602593
1226,-0.58958536
1255,-0.53247726
1633,-0.07326479
1653,-0.64378726
1682,-0.74290663
1841,0.027547967
1893,-0.41067484
1935,-0.22177777
1952,-0.95809656
1963,0.6321211
2263,-0.56992096
2278,-0.64799684
2353,-0.5528214
2443,-0.41778103
2474,-0.40197137
2654,-0.3364698
2756,-0.8229881
3007,-0.70935106
3188,-0.74714434
3189,0.25924823
3211,-0.70576143
3244,-0.7366265
3311,-0.14608027
3433,-0.38272157
3725,-0.2944977
3740,-0.24533941
3753,0.46239245
3850,-0.0026874538
3950,-0.52615374
4141,-0.7493131
4232,-0.9268251
4259,-0.35965997
4303,-0.5135866
4379,0.53389597
4410,0.05768702
4439,-0.53584003
4448,0.1826667
4655,-0.28396654
4698,-0.3934918
4769,1.2496551
4878,-0.31298524
5245,-0.41561332
5273,-0.68028444
5324,-0.06788335
5381,0.0106893405
5513,-0.2687881
5588,-0.003384309
5675,-0.23010716
5782,0.43079334
5958,-0.22273822
5976,-0.89120966
6099,-0.7180094
6238,-0.55625963
6360,-0.6005205
6365,-0.42187208
6443,-0.963318
6448,-0.63207734
6638,1.2572479
6652,-0.41164386
6653,-0.22594246
6730,-0.7873599
6761,-0.5045582
6833,-0.48073572
6881,-0.48683402
6960,-0.47736475
7048,-0.25269225
7054,-0.7127148
7158,-0.11845415
7177,-0.32795364
7269,-0.25713003
7302,-0.17972194
7390,0.30726716
7396,-0.9252574
7492,0.49784103
7572,-0.6268796
7623,-0.045081284
7660,-0.41527146
7675,-0.14227033
7687,0.76229703
7754,-0.53428584
7786,-0.3823121
7933,-0.20576559
8005,-0.027764026
8058,-1.1001313
8090,-0.63344395
8152,-0.079099074
8425,-0.67545
8429,-0.85166126
8450,-0.47367516
8487,-0.81532055
8526,-0.16133134
8529,-0.07200404
8599,-0.21578218
8758,-0.60575736
8765,-0.11000436
8831,-0.12517998
8838,-0.5434019
9048,-0.7743746
9105,-0.81951874
9195,-0.6889672
9227,-0.30001348
9432,0.5924395
9583,-0.8870171
9689,-0.73494273
9822,-0.090247035
9847,-0.7683084
9894,0.5560406
9922,-0.5232786
9947,-0.3930267
9979,0.30145296
9992,-0.6675699
10089,-0.2859192
10173,-1.1102566
10206,0.258203
10238,-0.93307215
10256,-0.50456977
10272,-0.3361926
10492,-0.5383105
10566,-0.115834504
10575,-0.47463483
10615,-0.57135004
10685,-0.107869476
10708,0.2596435
10805,-0.45181802
10840,-0.2829683
10850,-0.76827115
11147,-0.230721
11188,-0.3016422
11383,0.7164452
11454,-0.10112843
11526,-0.3107759
11620,0.104511596
11623,-0.52362484
11656,-0.7746247
12024,-0.63420385
12251,-0.711746
12306,-0.5997397
12328,-0.41023853
12330,-0.16696016
12334,-0.14160468
12403,-0.46101248
12428,-0.94232553
12449,-0.44388273
12473,-0.8057044
12592,-0.3845747
12683,-0.6108018
12695,-0.6974164
12731,-0.62353843
13060,-0.33057272
13129,0.002767336
13236,0.45565733
13248,-0.646127
13260,-0.69924283
13265,-0.3335489
13266,-0.64746183
13382,0.64131516
13386,0.8253634
13570,0.37753177
13732,-0.6256136
13917,-0.41472146
13997,-0.5510619
14068,-0.35909814
14195,0.54109997
14217,-0.786833
14255,-0.9197359
14278,-0.562311
14299,1.1342468
14390,-0.5702954
14455,0.10784939
14583,-0.49774367
14592,-0.3620913
14786,-0.24608311
14794,-0.74298286
14870,-0.5540726
14891,-0.12951183
14937,-0.78013
14953,0.16233519
14971,-0.5873142
14977,-0.654052
15013,-0.66000295
15091,-0.19813164
15174,-0.7201925
15183,-0.95546246
15249,-0.51560056
15290,-0.32611164
15346,-0.08984717
15388,-0.17573763
15420,-0.033849254
15455,-0.6058974
15513,-0.41595688
15539,0.3597516
15542,1.38585
15579,-0.63635767
15796,-0.87842447
15850,-0.3568945
15918,-0.71590143
15933,-0.44285586
16180,-0.34514228
16241,-0.5571611
16246,-0.45769227
16259,-0.76240444
16261,-0.66054076
16358,-0.22580703
16366,-0.53102595
16401,-0.72523564
16444,-0.58513165
16713,-0.2570749
16773,-0.8937063
16864,-0.81413394
16943,-0.683819
16946,-0.40707144
17035,-0.47001046
17054,-0.09494951
17059,-0.961479
17123,-0.36896396
17250,-0.20224154
17285,-0.3067981
17359,-0.3382165
17411,-0.9037683
17474,-0.5684787
17588,-0.71249944
17727,-0.3232415
17965,-0.5991
18025,-0.5454927
18033,0.07596794
18192,-1.3081055
18251,-0.3746201
18270,-0.0058941785
18312,-0.7977455
18361,-0.93941295
18716,-0.46549714
18821,-0.40210962
18984,-0.5191247
19140,-0.037119426
19451,-0.17081669
19494,-0.69066334
19574,-0.573326
19698,-0.9254235
19800,0.86192524
19821,-0.58492297
19854,-0.83963406
19862,0.48060486
19931,-0.50805825
19961,-0.9538205
20011,-0.74098784
20203,-0.3732097
20233,-0.8570124
20412,1.2196267
20451,-0.45069063
20456,-0.75168025
20457,-0.26853207
20644,-0.00019268575
20712,-1.1082408
20853,-0.4848365
21012,-0.25537938
21123,-0.6083657
21191,-1.2266994
21375,-0.6770449
21632,-0.34122905
21915,-0.19886123
21976,-0.46364528
22134,0.46587294
22142,-0.7385977
22184,-0.334161
22224,-0.50057334
22380,-0.91012734
22412,-0.3309019
22463,-0.27128324
22534,-0.63952184
22616,-0.54840624
22650,-1.0111212
22657,-0.40694553
22732,-0.63128495
22754,-0.563773
22838,-0.14970258
22904,-0.85949284
22907,-1.0272993
22930,-0.47464997
22991,0.116865374
23149,-0.829669
23209,-0.2607265
23220,-0.97007924
23255,0.7441774
23260,-0.8454728
23456,-0.1838344
23507,-1.08211
23580,-0.3628685
23611,-0.69357276
23676,-0.28352407
23866,0.032947324
23894,-0.3506449
23951,-0.5060282
24105,-0.19975297
24168,-0.57582587
24194,-0.58531886
24224,-0.28024608
24354,-0.64077693
24393,-0.49246806
24406,-0.8187619
24408,-0.21970934
24619,-0.37217945
24629,-0.34572324
24695,-0.6036506
24757,-0.49236038
24857,-0.20635816
24980,-0.62619054
25035,0.5419486
25084,-0.1733283
25204,-0.070211716
25216,-0.0022946736
25258,-0.6743306
25302,0.29919136
25308,-0.62298304
25358,-0.6557242
25417,-0.1377935
25429,-0.41181687
25639,-0.48465836
25679,-0.009214746
25689,1.1316077
25806,-0.25641897
25901,-0.20276625
26046,-0.9563338
26073,-0.4040952
26178,-0.7869526
26366,-0.93331534
26423,-0.41938397
26575,-0.50099915
26610,-0.17872606
26661,-0.09560435
26693,-0.4504132
26779,-0.77013326
26962,-0.53379667
27171,-0.2103453
27224,-0.33883432
27233,-0.6622844
27357,-0.26904225
27430,-0.5030605
27460,-0.48515502
27502,-0.43929654
27517,-0.72676635
27723,1.2075624
27766,-0.35250556
27853,-0.7039624
27905,-0.34255838
27914,-0.01385978
28133,0.20277096
28209,0.060218453
28260,0.6622073
28324,0.08247698
28453,-1.117785
28466,0.2612466
28495,-0.5956595
28518,-0.35307568
28628,-0.67535836
28694,-0.59893
28818,-0.05993787
28823,-0.71626604
28839,-0.5864734
28904,-0.078313544
29107,0.19238305
29125,-0.5470523
29130,0.11997348
29169,-0.595294
29186,-0.77000624
29196,-0.20408462
29254,-0.17826699
29312,0.168319
29398,1.0506139
29407,-0.23417465
29486,-0.34735435
29546,0.088330254
29684,-0.43558848
30032,-0.7085053
30249,0.37358633
30333,-0.5894284
30698,-0.27009398
30789,-0.6230542
30819,-0.8404729
30859,0.89036417
30925,-1.4976413
30960,0.10925767
31192,-0.89740103
31270,0.063436165
31322,-0.7602934
31389,-0.123411566
31696,-0.18511158
31740,-0.54911095
31816,0.41222495
31937,-0.4947962
32008,-0.3669077
32137,-0.60272455
32174,-0.84442514
32180,-0.42942992
32355,-0.46795404
32387,-0.30846813
32405,-0.66914016
32469,-1.1343135
32555,-0.5247386
32595,0.10824414
32604,-0.50068
32727,-0.59901094
32895,-0.6222488
33033,-0.088156655
33040,0.14483076
33056,-0.29389194
33084,1.1799709
33105,-0.5725314
33260,-0.5215498
33364,-0.2757849
33411,-0.2665129
33425,-0.13490391
33427,0.24104936
33581,-0.5553783
33778,-0.31100318
33817,-0.74185187
33818,-0.7034989
33855,-0.19530512
33944,0.32569993
34074,-0.5473084
34084,0.0948547
34180,-0.42314547
34205,0.42134538
34268,-0.16317192
34293,0.35740528
34297,0.12568171
34301,0.10761355
34366,-1.0528463
34413,-0.99652815
34700,0.81979483
34810,-0.48179418
34860,-0.7376059
34958,-0.6216159
35129,-0.16360973
35190,-0.43434057
35203,-0.37698066
35404,-0.6472868
35502,-0.255942
35767,-0.8971541
35808,0.4749964
35861,-0.25384998
35909,-1.005598
36031,-0.5944085
36148,-0.27069
36210,-0.38642487
36231,0.008495191
36368,-0.36203304
36370,0.03804492
36484,-0.7528667
36497,0.34473896
36521,0.5325088
36612,-0.028853668
36790,-0.071012475
